Protien,Score
CELLULAR SENESCENCE,1
APOPTOSIS,1
DNA DAMAGE,100
HOXA11,8
NTN1,2
PSMD10,1
TGFB1,4
AATF,8
BCL6,2
SOX4,3
SERPINF1,2
MDM2,6
DDX5,6
ELAVL1,5
IGF1R,3
P53,7
HSPA4,5
LATS2,8
ERBB2,9
MYCN,7
ZMAT3,4
NCL,3
KLF4,5
PPM1A,9
PLAUR,1
HTATIP2,2
PTTG1,10
E2F1,9
TIAF1,6
CIAPIN1,1
BRCA1,9
PARK2,9
BTG2,4
SGK,9
MUC1,5
MCTS1,7
FAS,5
YBX1,8
HDAC1,9
ID3,8
PADI4,4
POU4F1,2
MYC,7
RREB1,9
IFNA1,8
CHEK2,5
AXIN1,7
H2AFZ,8
THBS1,4
VEGFA,4
DKK1,8
MAPK8,7
ESR1,8
LTF,1
HIPK2,2
BCL3,1
RAS,1
NOTCH1,2
IL6,1
FGF2,1
MMP2,8
BCL2,7
FOXM1,8
ATF3,9
SLC2A1,4
MAPK14,2
CCNA,5
CDK4,1
CCND1,4
PDGFRB,9
EGFR,7
CD44,6
PRKCA,4
TGFA,8
FOS,2
PTEN,10
CDKN2A,6
MAPK1,9
TLR3,4
HIF1A,8
PTGS2,10
CXCR4,2
NOV,2
ICAM1,8
CSNK2,7
EZH2,9
AR,5
HSP90AB1,3
TCF7L2,3
S100A2,1
NME1,2
IGFBP7,2
PRKD1,1
MAPK9,8
SERPINB5,7
PRKG1,2
VRK1,2
RAF1,7
CDK2,10
CHEK1,2
HIPK4,1
CDK5,10
PPM1D,10
AURKA,4
DYRK2,4
CDK9,8
EIF2AK2,5
ATM,5
CDC25A,10
DUSP5,9
FHL2,1
CDKN1B,1
HF1A,3
ATR,7
PRKDC,2
MDM4,5
CDKN1A,8
GAPDH,5
SFN,8
SIAH1,7
TFDP1,4
GSTP1,1
ECT2,9
MSH2,5
DUSP4,5
XAF1,2
WWP1,5
DUSP2,5
FDXR,4
BAX,7
IFI16,5
DDIT4,10
MAP4K4,3
SEMA3B,8
PSEN1,9
PEG3,10
PRSS50,3
IFITM2,1
SIVA1,9
PCBP4,2
DFNA5,4
HNF4A,2
TP53INP1,1
CCNG1,4
EPHB4,3
CASP8,4
COL18A1,5
BBC3,3
APAF1,9
BAK1,6
NLRC4,10
MCL1,10
IER3,4
GADD45A,5
AIFM2,6
CKS2,8
BNIP3L,10
TNFRSF10A,1
TNFRSF10B,1
C12ORF5,6
PERP,4
LRDD,6
P53AIP1,2
RRM2B,8
DDB2,6
ARID3A,7
CKB,3
CD59,5
S100A6,3
SESN2,1
ABCC1,7
PDRG1,10
BDKRB1,4
CKM,10
CD82,6
CD58,7
EDA2R,4
SLC6A6,3
KAT2B,1
ABCB1,9
NR2C1,5
IGFBP1,8
KRT8,10
TP53I13,4
RECQL4,4
MGMT,3
SP7,6
FEN1,9
CDC20,2
IQCB1,3
HIC1,2
RPRM,1
MMP1,2
TSP50,1
MMP13,6
HMMR,1
MAP4,3
PRC1,10
GTSE1,6
CALD1,3
KRT19,9
RGS16,10
PCNA,9
C13ORF15,9
ISG15,4
SLC2A4,9
CCNB1,4
RAD51,6
